"vehicle_make_name","Frequency","sas_yr_of_crsh","sas_mnth_of_crsh"
"Honda","354","2015","Mar"
"Honda","381","2015","Apr"
"Honda","472","2015","May"
"Honda","490","2015","Jun"
"Honda","512","2015","Jul"
"Honda","496","2015","Aug"
"Honda","469","2015","Sep"
"Honda","474","2015","Oct"
"Honda","372","2015","Nov"
"Honda","449","2015","Dec"
"Honda","357","2016","Jan"
"Honda","400","2016","Feb"
"Honda","462","2016","Mar"
"Honda","446","2016","Apr"
"Honda","497","2016","May"
"Honda","563","2016","Jun"
"Honda","519","2016","Jul"
"Honda","531","2016","Aug"
"Honda","508","2016","Sep"
"Honda","457","2016","Oct"
"Honda","508","2016","Nov"
"Honda","491","2016","Dec"
"Hyundai","93","2015","Jan"
"Hyundai","98","2015","Feb"
"Hyundai","119","2015","Mar"
"Hyundai","121","2015","Apr"
"Hyundai","135","2015","May"
"Hyundai","77","2015","Jun"
"Hyundai","124","2015","Jul"
"Hyundai","121","2015","Aug"
"Hyundai","120","2015","Sep"
"Hyundai","118","2015","Oct"
"Hyundai","127","2015","Nov"
"Hyundai","126","2015","Dec"
"Hyundai","131","2016","Jan"
"Hyundai","99","2016","Feb"
"Hyundai","129","2016","Mar"
"Hyundai","141","2016","Apr"
"Hyundai","137","2016","May"
"Hyundai","139","2016","Jun"
"Hyundai","147","2016","Jul"
"Hyundai","141","2016","Aug"
"Hyundai","107","2016","Sep"
"Hyundai","154","2016","Oct"
"Hyundai","147","2016","Nov"
"Hyundai","169","2016","Dec"
"Infiniti","40","2015","Jan"
"Infiniti","26","2015","Feb"
"Infiniti","24","2015","Mar"
"Infiniti","26","2015","Apr"
"Infiniti","42","2015","May"
"Infiniti","33","2015","Jun"
"Infiniti","20","2015","Jul"
"Infiniti","47","2015","Aug"
"Infiniti","38","2015","Sep"
"Infiniti","30","2015","Oct"
"Infiniti","31","2015","Nov"
"Infiniti","43","2015","Dec"
"Infiniti","27","2016","Jan"
"Infiniti","23","2016","Feb"
"Infiniti","38","2016","Mar"
"Infiniti","40","2016","Apr"
"Infiniti","33","2016","May"
"Infiniti","45","2016","Jun"
"Infiniti","44","2016","Jul"
"Infiniti","31","2016","Aug"
"Infiniti","53","2016","Sep"
"Infiniti","73","2016","Oct"
"Infiniti","45","2016","Nov"
"Infiniti","31","2016","Dec"
"International Harvester/Navistar","68","2015","Jan"
"International Harvester/Navistar","48","2015","Feb"
"International Harvester/Navistar","65","2015","Mar"
"International Harvester/Navistar","94","2015","Apr"
"International Harvester/Navistar","110","2015","May"
"International Harvester/Navistar","58","2015","Jun"
"International Harvester/Navistar","78","2015","Jul"
"International Harvester/Navistar","64","2015","Aug"
"International Harvester/Navistar","74","2015","Sep"
